id,province,provinceEn,district,districtEn,subdistrict,subdistrictEn,postalCode,provinceSlug,districtSlug,subdistrictSlug
47,กระบี่,Krabi,อ่าวลึก,Ao Luek,คลองหิน,Khlong Hin,81110,krabi,ao-luek,khlong-hin
48,กระบี่,Krabi,อ่าวลึก,Ao Luek,นาเหนือ,Na Nuea,81110,krabi,ao-luek,na-nuea
49,กระบี่,Krabi,อ่าวลึก,Ao Luek,บ้านกลาง,Ban Klang,81110,krabi,ao-luek,ban-klang
50,กระบี่,Krabi,อ่าวลึก,Ao Luek,แหลมสัก,Laem Sak,81110,krabi,ao-luek,laem-sak
51,กระบี่,Krabi,อ่าวลึก,Ao Luek,อ่าวลึกใต้,Ao Luek Tai,81110,krabi,ao-luek,ao-luek-tai
52,กระบี่,Krabi,อ่าวลึก,Ao Luek,อ่าวลึกน้อย,Ao Luek Noi,81110,krabi,ao-luek,ao-luek-noi
53,กระบี่,Krabi,อ่าวลึก,Ao Luek,อ่าวลึกเหนือ,Ao Luek Nuea,81110,krabi,ao-luek,ao-luek-nuea
54,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei,คลองตัน,Khlong Tan,10110,bangkok,khlong-toei,khlong-tan
55,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei,คลองเตย,Khlong Toei,10110,bangkok,khlong-toei,khlong-toei
56,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei,พระโขนง,Phra Khanong,10110,bangkok,khlong-toei,phra-khanong
57,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei,พระโขนง,Phra Khanong,10260,bangkok,khlong-toei,phra-khanong
58,กรุงเทพมหานคร,Bangkok,คลองสาน,Khlong San,คลองต้นไทร,Khlong Ton Sai,10600,bangkok,khlong-san,khlong-ton-sai
59,กรุงเทพมหานคร,Bangkok,คลองสาน,Khlong San,คลองสาน,Khlong San,10600,bangkok,khlong-san,khlong-san
60,กรุงเทพมหานคร,Bangkok,คลองสาน,Khlong San,บางลำภูล่าง,Bang Lamphu Lang,10600,bangkok,khlong-san,bang-lamphu-lang
61,กรุงเทพมหานคร,Bangkok,คลองสาน,Khlong San,สมเด็จเจ้าพระยา,Somdet Chao Phraya,10600,bangkok,khlong-san,somdet-chao-phraya
62,กรุงเทพมหานคร,Bangkok,คลองสามวา,Khlong Sam Wa,ทรายกองดิน,Sai Kong Din,10510,bangkok,khlong-sam-wa,sai-kong-din
63,กรุงเทพมหานคร,Bangkok,คลองสามวา,Khlong Sam Wa,ทรายกองดินใต้,Sai Kong Din Tai,10510,bangkok,khlong-sam-wa,sai-kong-din-tai
64,กรุงเทพมหานคร,Bangkok,คลองสามวา,Khlong Sam Wa,บางชัน,Bang Chan,10510,bangkok,khlong-sam-wa,bang-chan
65,กรุงเทพมหานคร,Bangkok,คลองสามวา,Khlong Sam Wa,สามวาตะวันตก,Sam Wa Tawan Tok,10510,bangkok,khlong-sam-wa,sam-wa-tawan-tok
66,กรุงเทพมหานคร,Bangkok,คลองสามวา,Khlong Sam Wa,สามวาตะวันออก,Sam Wa Tawan Ok,10510,bangkok,khlong-sam-wa,sam-wa-tawan-ok
67,กรุงเทพมหานคร,Bangkok,คันนายาว,Khan Na Yao,คันนายาว,Khan Na Yao,10230,bangkok,khan-na-yao,khan-na-yao
68,กรุงเทพมหานคร,Bangkok,คันนายาว,Khan Na Yao,รามอินทรา,Ram Inthra,10230,bangkok,khan-na-yao,ram-inthra
69,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak,จตุจักร,Chatuchak,10900,bangkok,chatuchak,chatuchak
70,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak,จอมพล,Chom Phon,10900,bangkok,chatuchak,chom-phon
71,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak,จันทรเกษม,Chan Kasem,10900,bangkok,chatuchak,chan-kasem
72,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak,ลาดยาว,Lat Yao,10900,bangkok,chatuchak,lat-yao
73,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak,เสนานิคม,Sena Nikhom,10900,bangkok,chatuchak,sena-nikhom
74,กรุงเทพมหานคร,Bangkok,จอมทอง,Chom Thong,จอมทอง,Chom Thong,10150,bangkok,chom-thong,chom-thong
75,กรุงเทพมหานคร,Bangkok,จอมทอง,Chom Thong,บางขุนเทียน,Bang Khun Thian,10150,bangkok,chom-thong,bang-khun-thian
76,กรุงเทพมหานคร,Bangkok,จอมทอง,Chom Thong,บางค้อ,Bang Kho,10150,bangkok,chom-thong,bang-kho
77,กรุงเทพมหานคร,Bangkok,จอมทอง,Chom Thong,บางมด,Bang Mot,10150,bangkok,chom-thong,bang-mot
78,กรุงเทพมหานคร,Bangkok,ดอนเมือง,Don Mueang,ดอนเมือง,Don Mueang,10210,bangkok,don-mueang,don-mueang
