id,provinceId,name,slug
146,8,ราชสาส์น,ราชสาส์น
147,8,สนามชัยเขต,สนามชัยเขต
148,9,เกาะจันทร์,เกาะจันทร์
149,9,เกาะสีชัง,เกาะสีชัง
150,9,บ่อทอง,บ่อทอง
151,9,บางละมุง,บางละมุง
152,9,บ้านบึง,บ้านบึง
153,9,พนัสนิคม,พนัสนิคม
154,9,พานทอง,พานทอง
155,9,เมืองชลบุรี,เมืองชลบุรี
156,9,ศรีราชา,ศรีราชา
157,9,สัตหีบ,สัตหีบ
158,9,หนองใหญ่,หนองใหญ่
159,10,เนินขาม,เนินขาม
160,10,มโนรมย์,มโนรมย์
161,10,เมืองชัยนาท,เมืองชัยนาท
162,10,วัดสิงห์,วัดสิงห์
163,10,สรรคบุรี,สรรคบุรี
164,10,สรรพยา,สรรพยา
165,10,หนองมะโมง,หนองมะโมง
166,10,หันคา,หันคา
167,11,เกษตรสมบูรณ์,เกษตรสมบูรณ์
168,11,แก้งคร้อ,แก้งคร้อ
169,11,คอนสวรรค์,คอนสวรรค์
170,11,คอนสาร,คอนสาร
171,11,จัตุรัส,จัตุรัส
172,11,ซับใหญ่,ซับใหญ่
173,11,เทพสถิต,เทพสถิต
174,11,เนินสง่า,เนินสง่า
175,11,บ้านเขว้า,บ้านเขว้า
176,11,บ้านแท่น,บ้านแท่น
177,11,บำเหน็จณรงค์,บำเหน็จณรงค์
178,11,ภักดีชุมพล,ภักดีชุมพล
179,11,ภูเขียว,ภูเขียว
180,11,เมืองชัยภูมิ,เมืองชัยภูมิ
181,11,หนองบัวแดง,หนองบัวแดง
182,11,หนองบัวระเหว,หนองบัวระเหว
183,12,ท่าแซะ,ท่าแซะ
184,12,ทุ่งตะโก,ทุ่งตะโก
185,12,ปะทิว,ปะทิว
186,12,พะโต๊ะ,พะโต๊ะ
187,12,เมืองชุมพร,เมืองชุมพร
188,12,ละแม,ละแม
189,12,สวี,สวี
190,12,หลังสวน,หลังสวน
191,13,ขุนตาล,ขุนตาล
192,13,เชียงของ,เชียงของ
193,13,เชียงแสน,เชียงแสน
194,13,ดอยหลวง,ดอยหลวง
195,13,เทิง,เทิง
196,13,ป่าแดด,ป่าแดด
197,13,พญาเม็งราย,พญาเม็งราย
198,13,พาน,พาน
199,13,เมืองเชียงราย,เมืองเชียงราย
200,13,แม่จัน,แม่จัน
